author,location,region,burnout_risk_score,original_burnout_risk,risk_reduction,late_night_pct,weekend_pct,avg_sentiment,commit_count
sounakr,"Bangalore, India",India,3.0826666666666664,4.08,24.444444444444454,40.0,46.666666666666664,-0.01111111111111111,15
activesoull,"Yerevan, Armenia",Armenia,2.7716129032258072,3.083870967741936,10.125523012552293,3.225806451612903,4.838709677419355,0.006720430107526881,62
tatevikh,USA (Boston),United States,2.635,2.625,-0.3809523809523728,43.75,6.25,-0.01875,16
nvoxland,USA (Minnesota),United States,2.6159999999999997,5.04,48.0952380952381,10.0,0.0,-0.0033333333333333353,10
azat-manukyan,"Yerevan, Armenia",Armenia,2.23,3.3500000000000005,33.432835820895534,25.0,37.5,-0.07083333333333333,8
khustup2,"Yerevan, Armenia",Armenia,1.92,3.0666666666666664,37.39130434782608,33.33333333333333,0.0,0.0,3
